국가,확진자,사망자,완치
중국,80411 ,3013 ,52213 
이란,3513 ,107 ,552 
이탈리아,3089 ,107 ,276 
일본크루즈,706 ,6 ,181 
독일,349 ,0 ,16 
일본,330 ,6 ,48 
프랑스,285 ,4 ,12 
스페인,248 ,3 ,16 
미국,160 ,11 ,9 
싱가포르,112 ,0 ,79 
홍콩,105 ,2 ,43 
스위스,93 ,1 ,3 
영국,90 ,0 ,8 
노르웨이,66 ,0 ,0 
스웨덴,60 ,0 ,1 
쿠웨이트,58 ,0 ,0 
바레인,52 ,0 ,1 
호주,52 ,2 ,21 
말레이시아,50 ,0 ,22 
벨기에,50 ,0 ,1 
태국,47 ,1 ,31 
대만,42 ,1 ,12 
네덜란드,38 ,0 ,0 
오스트리아,37 ,0 ,0 
이라크,35 ,2 ,0 
캐나다,34 ,0 ,7 
인도,30 ,0 ,3 
아랍에미레이트,28 ,0 ,5 
아이슬란드,26 ,0 ,1 
알제리,17 ,0 ,0 
베트남,16 ,0 ,16 
레바논,16 ,0 ,1 
산마리노,16 ,1 ,0 
이스라엘,15 ,0 ,1 
오만,15 ,0 ,2 
덴마크,15 ,0 ,0 
핀란드,12 ,0 ,1 
크로아티아????,11 ,0 ,0 
마카오,10 ,0 ,9 
그리스,10 ,0 ,0 
에콰도르,10 ,0 ,0 
카타르,8 ,0 ,0 
체코,8 ,0 ,0 
포르투갈,8 ,0 ,0 
멕시코,6 ,0 ,1 
루마니아,6 ,0 ,2 
아일랜드,6 ,0 ,0 
벨라루스,6 ,0 ,0 
러시아,5 ,0 ,2 
파키스탄,5 ,0 ,0 
브라질,4 ,0 ,0 
세네갈,4 ,0 ,0 
팔레스타인,4 ,0 ,0 
필리핀,3 ,1 ,2 
아제르바이잔,3 ,0 ,0 
조지아,3 ,0 ,0 
뉴질랜드,3 ,0 ,0 
아프가니스탄,3 ,1 ,2 
칠레,3 ,0 ,0 
이집트,2 ,0 ,1 
인도네시아,2 ,0 ,0 
에스토니아,2 ,0 ,0 
모로코,2 ,0 ,0 
사우디아라비아,2 ,0 ,0 
헝가리,2 ,0 ,0 
보스니아 헤르체고비나,2 ,0 ,0 
네팔,1 ,0 ,1 
캄보디아,1 ,0 ,1 
스리랑카,1 ,0 ,1 
북마케도니아,1 ,0 ,0 
나이지리아,1 ,0 ,0 
리투아니아,1 ,0 ,0 
모나코,1 ,0 ,0 
룩셈부르크,1 ,0 ,0 
아르메니아,1 ,0 ,0 
도미니카 공화국,1 ,0 ,0 
요르단,1 ,0 ,0 
라트비아,1 ,0 ,0 
안도라,1 ,0 ,0 
튀니지,1 ,0 ,0 
우크라이나,1 ,0 ,0 
리히텐슈타인,1 ,0 ,0 
아르헨티나,1 ,0 ,0 
폴란드,1 ,0 ,0 
페로 제도,1 ,0 ,0 
슬로베니아,1 ,0 ,0 
